Áreas,Comarcas,Defensorias,Datas de Cadastro,Processos,Ações,Defensores
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-08 10:28:52.265682-03:00,0800247-55.2026.8.14.0006,SUPRIMENTO DE IDADE E/OU CONSENTIMENTO (143),ROBERTA OLIVEIRA MOREIRA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-12 10:35:36.957807-03:00,0800708-27.2026.8.14.0006,CUMPRIMENTO PROVISÓRIO DE DECISÃO (10980),ROBERTA OLIVEIRA MOREIRA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-12 10:45:19.043237-03:00,0800706-57.2026.8.14.0006,CUMPRIMENTO PROVISÓRIO DE DECISÃO (10980),ROBERTA OLIVEIRA MOREIRA
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-01-28 14:56:28.925652-03:00,0801973-64.2026.8.14.0006,PROCEDIMENTO COMUM CÍVEL (7),JAIRO MAIA JUNIOR
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-02-03 14:44:03.883816-03:00,0802563-41.2026.8.14.0006,RETIFICAÇÃO OU SUPRIMENTO OU RESTAURAÇÃO DE REGISTRO CIVIL (1682),RODRIGO VICENTE MAIA MENDES
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-02-24 14:25:13.939514-03:00,0804347-53.2026.8.14.0006,RETIFICAÇÃO OU SUPRIMENTO OU RESTAURAÇÃO DE REGISTRO CIVIL (1682),RODRIGO VICENTE MAIA MENDES
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-02-27 10:20:37.918918-03:00,0804466-14.2026.8.14.0006,INVENTÁRIO (39),RODRIGO VICENTE MAIA MENDES
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-02-27 14:13:59.600794-03:00,0804660-14.2026.8.14.0006,RETIFICAÇÃO OU SUPRIMENTO OU RESTAURAÇÃO DE REGISTRO CIVIL (1682),RODRIGO VICENTE MAIA MENDES
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-03-02 10:03:31.725930-03:00,0804687-94.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),RODRIGO VICENTE MAIA MENDES
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-03-02 10:15:43.164305-03:00,0805004-92.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),RODRIGO VICENTE MAIA MENDES
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-03-02 10:34:15.000106-03:00,0804901-85.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),RODRIGO VICENTE MAIA MENDES
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-03-05 12:39:46.689535-03:00,0805410-16.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),RODRIGO VICENTE MAIA MENDES
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-03-18 13:17:05.843933-03:00,0806328-20.2026.8.14.0006,RETIFICAÇÃO OU SUPRIMENTO OU RESTAURAÇÃO DE REGISTRO CIVIL (1682),RODRIGO VICENTE MAIA MENDES
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-03-23 11:11:09.093302-03:00,0806651-25.2026.8.14.0006,RETIFICAÇÃO OU SUPRIMENTO OU RESTAURAÇÃO DE REGISTRO CIVIL (1682),RODRIGO VICENTE MAIA MENDES
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-03-26 12:07:37.995678-03:00,0806986-44.2026.8.14.0006,EXECUÇÃO DE TÍTULO EXTRAJUDICIAL,RODRIGO VICENTE MAIA MENDES
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-03-31 10:36:05.164354-03:00,0807348-46.2026.8.14.0006,PROCEDIMENTO COMUM CÍVEL (7),RODRIGO VICENTE MAIA MENDES
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-04-14 13:34:35.701478-03:00,0808414-61.2026.8.14.0006,AÇÃO CIVIL PÚBLICA (65),RODRIGO VICENTE MAIA MENDES
CÍVEL,ANANINDEUA,1ª DEFENSORIA PUBLICA CIVEL DE ANANINDEUA,2026-04-16 09:31:55.265438-03:00,0808671-86.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),RODRIGO VICENTE MAIA MENDES
