Áreas,Comarcas,Defensorias,Datas de Cadastro,Processos,Ações,Defensores
CÍVEL,BELÉM,11ª DEFENSORIA PÚBLICA CÍVEL,2026-02-28 12:48:11.125107-03:00,0825091-57.2026.8.14.0301,EMBARGOS À EXECUÇÃO (172),JOSE FLAVIO RIBEIRO MAUES
CÍVEL,BELÉM,11ª DEFENSORIA PÚBLICA CÍVEL,2026-03-27 10:04:43.040297-03:00,0833497-67.2026.8.14.0301,EMBARGOS À EXECUÇÃO (172),JOSE FLAVIO RIBEIRO MAUES
CÍVEL,BELÉM,11ª DEFENSORIA PÚBLICA CÍVEL,2026-04-28 08:32:24.593470-03:00,0846130-13.2026.8.14.0301,EMBARGOS À EXECUÇÃO (172),JOSE FLAVIO RIBEIRO MAUES
CÍVEL,BELÉM,11ª DEFENSORIA PÚBLICA CÍVEL,2026-04-28 08:40:22.916538-03:00,0846142-27.2026.8.14.0301,EXECUÇÃO DE TÍTULO EXTRAJUDICIAL,JOSE FLAVIO RIBEIRO MAUES
CÍVEL,BELÉM,11ª DEFENSORIA PÚBLICA CÍVEL,2026-07-14 09:57:07.037351-03:00,0869646-62.2026.8.14.0301,PROCEDIMENTO COMUM CÍVEL (7),JENIFFER DE BARROS RODRIGUES
CÍVEL,BELÉM,12ª DEFENSORIA PÚBLICA CÍVEL,2026-08-04 13:33:08.139402-03:00,0875466-62.2026.8.14.0301,EMBARGOS À EXECUÇÃO (172),ADRIANA MARTINS JORGE JOAO
CÍVEL,BELÉM,12ª DEFENSORIA PÚBLICA CÍVEL,2026-08-28 13:44:11.177412-03:00,0884191-40.2026.8.14.0301,ALVARÁ JUDICIAL - LEI 6858/80 (74),EDERNILSON DO NASCIMENTO BARROSO
CÍVEL,BELÉM,13ª DEFENSORIA PÚBLICA CÍVEL,2026-01-07 10:41:16.844075-03:00,0800424-07.2026.8.14.0301,INVENTÁRIO (39),CAIO FAVERO FERREIRA
CÍVEL,BELÉM,13ª DEFENSORIA PÚBLICA CÍVEL,2026-01-08 11:11:17.588121-03:00,0801794-21.2026.8.14.0301,PETIÇÃO CÍVEL (241),CAIO FAVERO FERREIRA
CÍVEL,BELÉM,13ª DEFENSORIA PÚBLICA CÍVEL,2026-03-20 12:53:32.275653-03:00,0831475-36.2026.8.14.0301,INVENTÁRIO (39),CAIO FAVERO FERREIRA
CÍVEL,BELÉM,13ª DEFENSORIA PÚBLICA CÍVEL,2026-03-24 12:57:19.643077-03:00,0832477-41.2026.8.14.0301,PROCEDIMENTO COMUM CÍVEL (7),CAIO FAVERO FERREIRA
CÍVEL,BELÉM,13ª DEFENSORIA PÚBLICA CÍVEL,2026-05-05 11:53:48.439131-03:00,0848299-70.2026.8.14.0301,INVENTÁRIO (39),CAIO FAVERO FERREIRA
CÍVEL,BELÉM,13ª DEFENSORIA PÚBLICA CÍVEL,2026-05-27 11:24:21.938265-03:00,0855557-34.2026.8.14.0301,DESPEJO POR FALTA DE PAGAMENTO (93),CAIO FAVERO FERREIRA
CÍVEL,BELÉM,13ª DEFENSORIA PÚBLICA CÍVEL,2026-06-11 12:12:51.098226-03:00,0859981-22.2026.8.14.0301,DESPEJO POR FALTA DE PAGAMENTO (93),CAIO FAVERO FERREIRA
CÍVEL,BELÉM,13ª DEFENSORIA PÚBLICA CÍVEL,2026-06-16 11:43:27.149703-03:00,0861292-48.2026.8.14.0301,INVENTÁRIO (39),CAIO FAVERO FERREIRA
CÍVEL,BELÉM,13ª DEFENSORIA PÚBLICA CÍVEL,2026-08-12 12:48:41.405973-03:00,0877939-21.2026.8.14.0301,INVENTÁRIO (39),CAIO FAVERO FERREIRA
CÍVEL,BELÉM,13ª DEFENSORIA PÚBLICA CÍVEL,2026-08-13 13:11:00.793923-03:00,0878340-20.2026.8.14.0301,INVENTÁRIO (39),CAIO FAVERO FERREIRA
CÍVEL,BELÉM,13ª DEFENSORIA PÚBLICA CÍVEL,2026-08-21 11:40:37.844517-03:00,0881254-57.2026.8.14.0301,INVENTÁRIO (39),CAIO FAVERO FERREIRA
CÍVEL,BELÉM,13ª DEFENSORIA PÚBLICA CÍVEL,2026-08-26 13:04:24.217335-03:00,0882840-32.2026.8.14.0301,INVENTÁRIO (39),CAIO FAVERO FERREIRA
CÍVEL,BELÉM,13ª DEFENSORIA PÚBLICA CÍVEL,2026-08-27 12:26:23.004536-03:00,0883330-54.2026.8.14.0301,INVENTÁRIO (39),CAIO FAVERO FERREIRA
CÍVEL,BELÉM,14ª DEFENSORIA PÚBLICA CÍVEL,2026-02-11 11:18:22.053414-03:00,0820064-93.2026.8.14.0301,PROCEDIMENTO COMUM CÍVEL (7),FRANCIARA LEMOS RELL
CÍVEL,BELÉM,15ª DEFENSORIA PÚBLICA CÍVEL,2026-01-07 09:49:21.569626-03:00,0800402-46.2026.8.14.0301,INVENTÁRIO (39),MAURO PINHO DA SILVA
CÍVEL,BELÉM,15ª DEFENSORIA PÚBLICA CÍVEL,2026-01-21 10:08:20.547035-03:00,0804322-28.2026.8.14.0301,INVENTÁRIO (39),MAURO PINHO DA SILVA
CÍVEL,BELÉM,15ª DEFENSORIA PÚBLICA CÍVEL,2026-01-27 08:54:27.314887-03:00,0805878-65.2026.8.14.0301,ALVARÁ JUDICIAL - LEI 6858/80 (74),MAURO PINHO DA SILVA
CÍVEL,BELÉM,15ª DEFENSORIA PÚBLICA CÍVEL,2026-01-29 10:58:45.050302-03:00,0806657-20.2026.8.14.0301,PROCEDIMENTO COMUM CÍVEL (7),MAURO PINHO DA SILVA
CÍVEL,BELÉM,15ª DEFENSORIA PÚBLICA CÍVEL,2026-02-04 08:27:18.793289-03:00,0813482-77.2026.8.14.0301,OUTROS PROCEDIMENTOS DE JURISDIÇÃO VOLUNTÁRIA (1294),MAURO PINHO DA SILVA
CÍVEL,BELÉM,15ª DEFENSORIA PÚBLICA CÍVEL,2026-02-04 11:26:55.801435-03:00,0814091-60.2026.8.14.0301,MONITÓRIA (40),MAURO PINHO DA SILVA
CÍVEL,BELÉM,15ª DEFENSORIA PÚBLICA CÍVEL,2026-02-05 09:08:15.837483-03:00,0815341-31.2026.8.14.0301,REINTEGRAÇÃO / MANUTENÇÃO DE POSSE (1707),MAURO PINHO DA SILVA
CÍVEL,BELÉM,15ª DEFENSORIA PÚBLICA CÍVEL,2026-02-12 13:14:11.302772-03:00,0820589-75.2026.8.14.0301,ARROLAMENTO SUMÁRIO (31),MAURO PINHO DA SILVA
CÍVEL,BELÉM,15ª DEFENSORIA PÚBLICA CÍVEL,2026-02-13 09:24:16.494226-03:00,0820886-82.2026.8.14.0301,OUTROS PROCEDIMENTOS DE JURISDIÇÃO VOLUNTÁRIA (1294),MAURO PINHO DA SILVA
CÍVEL,BELÉM,15ª DEFENSORIA PÚBLICA CÍVEL,2026-02-26 11:39:09.410798-03:00,0824291-29.2026.8.14.0301,INVENTÁRIO (39),MAURO PINHO DA SILVA
CÍVEL,BELÉM,15ª DEFENSORIA PÚBLICA CÍVEL,2026-02-26 11:58:38.632096-03:00,0824314-72.2026.8.14.0301,INTERDIÇÃO/CURATELA (58),MAURO PINHO DA SILVA
CÍVEL,BELÉM,15ª DEFENSORIA PÚBLICA CÍVEL,2026-03-09 08:34:38.747810-03:00,0827171-91.2026.8.14.0301,INVENTÁRIO (39),MAURO PINHO DA SILVA
CÍVEL,BELÉM,15ª DEFENSORIA PÚBLICA CÍVEL,2026-03-11 11:44:29.619415-03:00,0828302-04.2026.8.14.0301,ALVARÁ JUDICIAL - LEI 6858/80 (74),MAURO PINHO DA SILVA
CÍVEL,BELÉM,15ª DEFENSORIA PÚBLICA CÍVEL,2026-03-20 13:11:07.933160-03:00,0831481-43.2026.8.14.0301,REINTEGRAÇÃO / MANUTENÇÃO DE POSSE (1707),MAURO PINHO DA SILVA
CÍVEL,BELÉM,15ª DEFENSORIA PÚBLICA CÍVEL,2026-04-09 09:22:33.119784-03:00,0840032-12.2026.8.14.0301,INVENTÁRIO (39),MAURO PINHO DA SILVA
CÍVEL,BELÉM,15ª DEFENSORIA PÚBLICA CÍVEL,2026-04-14 08:28:52.688835-03:00,0841511-40.2026.8.14.0301,INVENTÁRIO (39),MAURO PINHO DA SILVA
