Áreas,Comarcas,Defensorias,Datas de Cadastro,Processos,Ações,Defensores
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-01-12 13:05:05.657011-03:00,0801788-14.2026.8.14.0301,RETIFICAÇÃO OU SUPRIMENTO OU RESTAURAÇÃO DE REGISTRO CIVIL (1682),PAULA CUNHA DA SILVA DENADAI
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-01-13 09:44:50.646757-03:00,0801796-88.2026.8.14.0301,RETIFICAÇÃO OU SUPRIMENTO OU RESTAURAÇÃO DE REGISTRO CIVIL (1682),PAULA CUNHA DA SILVA DENADAI
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-01-14 13:36:18.317377-03:00,0802355-45.2026.8.14.0301,RETIFICAÇÃO OU SUPRIMENTO OU RESTAURAÇÃO DE REGISTRO CIVIL (1682),PAULA CUNHA DA SILVA DENADAI
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-01-19 11:08:26.349295-03:00,0803486-55.2026.8.14.0301,RETIFICAÇÃO OU SUPRIMENTO OU RESTAURAÇÃO DE REGISTRO CIVIL (1682),PAULA CUNHA DA SILVA DENADAI
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-01-20 14:19:31.203895-03:00,0805256-83.2026.8.14.0301,ALVARÁ JUDICIAL - LEI 6858/80 (74),PAULA CUNHA DA SILVA DENADAI
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-01-26 10:22:11.775000-03:00,0805658-67.2026.8.14.0301,INTERDIÇÃO/CURATELA (58),VERENA MAUÉS FIDALGO BARROS
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-01-26 13:56:54.307399-03:00,0805659-52.2026.8.14.0301,INTERDIÇÃO/CURATELA (58),VERENA MAUÉS FIDALGO BARROS
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-01-27 10:10:32.753723-03:00,0801953-73.2026.8.14.0006,ALVARÁ JUDICIAL - LEI 6858/80 (74),VERENA MAUÉS FIDALGO BARROS
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-01-27 12:59:49.471245-03:00,0801956-28.2026.8.14.0006,ALIMENTOS - LEI ESPECIAL Nº 5.478/68 (69),VERENA MAUÉS FIDALGO BARROS
CÍVEL,BELÉM,NÚCLEO DAS INSTITUIÇÕES DE ENSINO SUPERIOR,2026-02-05 10:27:29.515917-03:00,0802719-29.2026.8.14.0006,DIVÓRCIO CONSENSUAL (12372),PAULA CUNHA DA SILVA DENADAI
