Mes_Ano,Defensores,Categoria,Processos,Sistema
01/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,10,SCPJ
01/2026,VERENA MAUÉS FIDALGO BARROS,CÍVEL,13,SCPJ
01/2026,PAULA CUNHA DA SILVA DENADAI,FAMÍLIA,6,SCPJ
01/2026,PAULA CUNHA DA SILVA DENADAI,CÍVEL,0,SCPJ
01/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,FAMÍLIA,0,SCPJ
01/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,CÍVEL,0,SCPJ
02/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,0,SCPJ
02/2026,VERENA MAUÉS FIDALGO BARROS,CÍVEL,0,SCPJ
02/2026,PAULA CUNHA DA SILVA DENADAI,FAMÍLIA,7,SCPJ
02/2026,PAULA CUNHA DA SILVA DENADAI,CÍVEL,4,SCPJ
02/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,FAMÍLIA,13,SCPJ
02/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,CÍVEL,21,SCPJ
03/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,17,SCPJ
03/2026,VERENA MAUÉS FIDALGO BARROS,CÍVEL,11,SCPJ
03/2026,PAULA CUNHA DA SILVA DENADAI,FAMÍLIA,15,SCPJ
03/2026,PAULA CUNHA DA SILVA DENADAI,CÍVEL,14,SCPJ
03/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,FAMÍLIA,20,SCPJ
03/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,CÍVEL,15,SCPJ
04/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,25,SCPJ
04/2026,VERENA MAUÉS FIDALGO BARROS,CÍVEL,0,SCPJ
04/2026,PAULA CUNHA DA SILVA DENADAI,FAMÍLIA,34,SCPJ
04/2026,PAULA CUNHA DA SILVA DENADAI,CÍVEL,0,SCPJ
04/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,FAMÍLIA,25,SCPJ
04/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,CÍVEL,0,SCPJ
05/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,28,SCPJ
05/2026,VERENA MAUÉS FIDALGO BARROS,CÍVEL,32,SCPJ
05/2026,PAULA CUNHA DA SILVA DENADAI,FAMÍLIA,10,SCPJ
05/2026,PAULA CUNHA DA SILVA DENADAI,CÍVEL,16,SCPJ
05/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,FAMÍLIA,5,SCPJ
05/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,CÍVEL,10,SCPJ
06/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,3,SCPJ
06/2026,VERENA MAUÉS FIDALGO BARROS,CÍVEL,0,SCPJ
06/2026,PAULA CUNHA DA SILVA DENADAI,FAMÍLIA,3,SCPJ
06/2026,PAULA CUNHA DA SILVA DENADAI,CÍVEL,11,SCPJ
06/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,FAMÍLIA,6,SCPJ
06/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,CÍVEL,16,SCPJ
07/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,1,SCPJ
07/2026,VERENA MAUÉS FIDALGO BARROS,CÍVEL,13,SCPJ
07/2026,PAULA CUNHA DA SILVA DENADAI,FAMÍLIA,1,SCPJ
07/2026,PAULA CUNHA DA SILVA DENADAI,CÍVEL,3,SCPJ
07/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,FAMÍLIA,0,SCPJ
07/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,CÍVEL,2,SCPJ
08/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,1,SCPJ
08/2026,VERENA MAUÉS FIDALGO BARROS,CÍVEL,2,SCPJ
08/2026,PAULA CUNHA DA SILVA DENADAI,FAMÍLIA,1,SCPJ
08/2026,PAULA CUNHA DA SILVA DENADAI,CÍVEL,9,SCPJ
08/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,FAMÍLIA,0,SCPJ
08/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,CÍVEL,0,SCPJ
