Mes_Ano,Defensores,Categoria,Acao,Quantidade,Sistema
01/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,Divórcio (SCPJ),7,SCPJ
01/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,"Alimentos (constituição, revisão, exoneração etc.) (SCPJ)",2,SCPJ
01/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,"Guarda (constituição, revisão, exoneração etc.) (SCPJ)",1,SCPJ
01/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,Outros(as) (SCPJ),12,SCPJ
01/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,Registro Extemporâneo Nascimento/Óbito (SCPJ),9,SCPJ
01/2026,VERENA MAUÉS FIDALGO BARROS,CÍVEL,Ações Diversas (SCPJ),13,SCPJ
01/2026,PAULA CUNHA DA SILVA DENADAI,FAMÍLIA,Ações Diversas (SCPJ),6,SCPJ
02/2026,PAULA CUNHA DA SILVA DENADAI,FAMÍLIA,Ações Diversas (SCPJ),7,SCPJ
02/2026,PAULA CUNHA DA SILVA DENADAI,CÍVEL,Ações Diversas (SCPJ),4,SCPJ
02/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,FAMÍLIA,Ações Diversas (SCPJ),13,SCPJ
02/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,CÍVEL,Ações Diversas (SCPJ),21,SCPJ
03/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,Ações Diversas (SCPJ),17,SCPJ
03/2026,VERENA MAUÉS FIDALGO BARROS,CÍVEL,Ações Diversas (SCPJ),11,SCPJ
03/2026,PAULA CUNHA DA SILVA DENADAI,FAMÍLIA,Ações Diversas (SCPJ),15,SCPJ
03/2026,PAULA CUNHA DA SILVA DENADAI,CÍVEL,Ações Diversas (SCPJ),14,SCPJ
03/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,FAMÍLIA,Ações Diversas (SCPJ),20,SCPJ
03/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,CÍVEL,Ações Diversas (SCPJ),15,SCPJ
04/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,Ações Diversas (SCPJ),25,SCPJ
04/2026,PAULA CUNHA DA SILVA DENADAI,FAMÍLIA,Ações Diversas (SCPJ),34,SCPJ
04/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,FAMÍLIA,Ações Diversas (SCPJ),25,SCPJ
05/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,Ações Diversas (SCPJ),28,SCPJ
05/2026,VERENA MAUÉS FIDALGO BARROS,CÍVEL,Ações Diversas (SCPJ),32,SCPJ
05/2026,PAULA CUNHA DA SILVA DENADAI,FAMÍLIA,Ações Diversas (SCPJ),10,SCPJ
05/2026,PAULA CUNHA DA SILVA DENADAI,CÍVEL,Ações Diversas (SCPJ),16,SCPJ
05/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,FAMÍLIA,Ações Diversas (SCPJ),5,SCPJ
05/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,CÍVEL,Ações Diversas (SCPJ),10,SCPJ
06/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,Ações Diversas (SCPJ),3,SCPJ
06/2026,PAULA CUNHA DA SILVA DENADAI,FAMÍLIA,Ações Diversas (SCPJ),3,SCPJ
06/2026,PAULA CUNHA DA SILVA DENADAI,CÍVEL,Ações Diversas (SCPJ),11,SCPJ
06/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,FAMÍLIA,Ações Diversas (SCPJ),6,SCPJ
06/2026,ANA MARINA MONTEIRO VALENTE DO COUTO,CÍVEL,Ações Diversas (SCPJ),16,SCPJ
07/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,Registro Extemporâneo Nascimento/Óbito (SCPJ),8,SCPJ
07/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,Retificação em registro civil (SCPJ),2,SCPJ
07/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,Alvará Judicial (SCPJ),1,SCPJ
07/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,Interdição (SCPJ),9,SCPJ
07/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,Outros(as) (SCPJ),5,SCPJ
07/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,Divórcio (SCPJ),3,SCPJ
07/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,"Alimentos (constituição, revisão, exoneração etc.) (SCPJ)",3,SCPJ
07/2026,VERENA MAUÉS FIDALGO BARROS,FAMÍLIA,"Guarda (constituição, revisão, exoneração etc.) (SCPJ)",1,SCPJ
07/2026,VERENA MAUÉS FIDALGO BARROS,CÍVEL,Ações Diversas (SCPJ),13,SCPJ
07/2026,PAULA CUNHA DA SILVA DENADAI,FAMÍLIA,Ações Diversas (SCPJ),1,SCPJ
